00194219000179;CENTRO COML DO CDM SAN THIAGO;AV ANTONIO SALES 2155;DIONISIO TORRES;60135203;FORTALEZA;CE;
00204975000131;EDIFICIO COLINAS DE ROMA;R BARBALHA 300;MEIRELES;60165100;FORTALEZA;CE;
00211613000178;CONDOMINIO DO ED SANTO PATRICK S;R CEL JUCA 315;MEIRELES;60170320;FORTALEZA;CE;
00211614000112;ORLANDO BEZERRA;R MARCOS MACEDO 644;ALDEOTA;60150190;FORTALEZA;CE;
00212526000135;CONDOMINIO ED XENOFONTE;R ASSUNCAO 911;JD CEARENSE;60712020;FORTALEZA;CE;
00217949000148;CONDOMINIO ED LISBOA;AV DA UNIVERSIDADE 3264 HALL;BENFICA;60020181;FORTALEZA;CE;
00217951000117;CONDOMINIO NADJA AGUIAR;R NUNES VALENTE 2491;DIONISIO TORRES;60125071;FORTALEZA;CE;
00217952000161;CONDOMINIO ED GERIBA;R JOAQUIM NABUCO 275;MEIRELES;60125120;FORTALEZA;CE;
00234723000155;CONDOMINIO RESIDENCIAL RAQUEL DE QUEIROZ;R STA QUITERIA 366;PARREAO;60410330;FORTALEZA;CE;
00239056000101;CONDOMINIO TELEFONICO JOAO PAULO II;R MUNDICA PAULA 681;ITAOCA;60421410;FORTALEZA;CE;
00241175000190;CONDOMINIO DO ED GERMANO PONTE;R OSVALDO CRUZ SN;MEIRELES;60125150;FORTALEZA;CE;
00241304000140;CONDOMINIO ED RESIDENCIAL AUGUSTO RUSCH;R ANDRE CHAVES 100;PARREAO;60410341;FORTALEZA;CE;
00246816000108;KHALIL GIBRAN;R DR JOSE LOURENCO 1951;ALDEOTA;60115281;FORTALEZA;CE;
00247729000167;CONDOMINIO ED SAINT GERMAIN;R VICENTE LEITE 630;MEIRELES;60170150;FORTALEZA;CE;
00252683000174;CONDOMINIO ED GOMEZ;R JOSE VILAR 2671;DIONISIO TORRES;60125001;FORTALEZA;CE;
00252763000120;CONDOMINIO ED MIGUEL CALMON;R CEL ALVES TEIXEIRA 1716;DIONISIO TORRES;60135208;FORTALEZA;CE;
00255222000155;CONDOMINIO DO ED TERRACES LA MAISON;R OSVALDO CRUZ 250;MEIRELES;60125150;FORTALEZA;CE;
00257359000149;CONDOMINIO ED NONSENHOR BRUNO;R MNS BRUNO 630 HALL;MEIRELES;60115190;FORTALEZA;CE;
00257479000146;CONDOMINIO ED MNS BRUNO;R MNS BRUNO 630 HALL;MEIRELES;60115190;FORTALEZA;CE;
00260254000149;RIO VOUGA;R JOAQUIM NABUCO 1840;ALDEOTA;60125055;FORTALEZA;CE;
00262948000115;CONDOMINIO ED PEGASUS;R CANUTO DE AGUIAR 900;MEIRELES;60160120;FORTALEZA;CE;
00263123000115;CONDOMINIO RESIDENCIAL PHILADELPHIA;R BRAZ DE FRANCESCO 23;PRES KENNEDY;60355633;FORTALEZA;CE;
00268942000155;CONDOMINIO ED SIRIARA;R VSC DE MAUA 267;MEIRELES;60125160;FORTALEZA;CE;
00272364000120;CONDOMINIO ED ANCHIETA;R JOSE VILAR 2694;DIONISIO TORRES;60125001;FORTALEZA;CE;
00276805000162;PATRICIA;R ANTONIO AUGUSTO 1451;ALDEOTA;60110371;FORTALEZA;CE;
00276806000107;EDIFICIO RESIDENCIAL REI DAVI;R PEREIRA VALENTE 738;MEIRELES;60160250;FORTALEZA;CE;
00282310000146;CONDOMINIO MARIA HELENA;AV SANTOS DUMONT 925 BL C AP 103;CENTRO;60150160;FORTALEZA;CE;
00282313000180;ANDORRA CDM RESIDENCIAL;R JOSE VILAR SN;MEIRELES;60125000;FORTALEZA;CE;
00284833000121;CONDOMINIO RESIDENCIAL GRAMMY;R GUSTAVO SAMPAIO 2330;PARQUELANDIA;60455001;FORTALEZA;CE;
00289738000110;CONDOMINIO ED ALLET S;R FR MANSUETO 303;MUCURIPE;60175185;FORTALEZA;CE;
00293689000190;CONDOMINIO DO ED ATLANT S;R FRANCISCO TEIXEIRA DE ALCANTARA 50;ANTONIO DIOGO;60182360;FORTALEZA;CE;
00293905000105;CONDOMINIO ED MANAUS;R JOSE AURELIO CAMARA 381;PICI;60440546;FORTALEZA;CE;
00303899000111;CONDOMINIO AVENIDA SHOPPING OFFICE;AV D LUIS 300 ADMINISTRACAO;ALDEOTA;60160196;FORTALEZA;CE;
00305106000101;CONDOMINIO ED JANGADA;VL PRES KENNEDY 1000;BELA VISTA;60441414;FORTALEZA;CE;
00307756000188;EDIFICIO DO CDM RESIDENCIAL TAINAH;R PROF DIAS DA ROCHA 370;MEIRELES;60170310;FORTALEZA;CE;
00309624000195;CONDOMINIO ED SAN DIEGO;R ANDRADE FURTADO 601;COCO;60192070;FORTALEZA;CE;
00310666000146;EDIFICIO TORREMOLINOS;R DOS POTIGUARAS 1315;PR DE IRACEMA;60060500;FORTALEZA;CE;
00317519000106;CONDOMINIO ED ISAAC AMARAL;R ISAAC AMARAL 630;DIONISIO TORRES;60130120;FORTALEZA;CE;
00321450000186;FORMA I;R MARECHAL RONDON 281;ALDEOTA;60175060;FORTALEZA;CE;
00321453000110;CONDOMINIO ED JOAO PAULO I;R RODRIGUES JUNIOR 1362;CENTRO;60060001;FORTALEZA;CE;
00321456000153;DO TORRES;R TORRES CAMARA 740;ALDEOTA;60150060;FORTALEZA;CE;
00321459000197;EDIFICIO FORMA V;AV BR DE STUDART 2441;DIONISIO TORRES;60120375;FORTALEZA;CE;
00321461000166;EDIFICIO RESIDENCIAL YAYA ROSA;R PAULA BARROS 337;MEIRELES;60170060;FORTALEZA;CE;
00324311000106;CONDOMINIO ED PTO ANTONIO BANDEIRA;AV PTO ANTONIO BANDEIRA 3231;VICENTE PINZON;60182300;FORTALEZA;CE;
00325887000198;CONDOMINIO ED PORTE DES LILAS;R CANUTO DE AGUIAR 1212;MEIRELES;60160120;FORTALEZA;CE;
00325891000156;CONDOMINIO MORADA DAS VERBENAS;R S BERNARDO 214;ALVARO WEYNE;60335555;FORTALEZA;CE;
00327936000121;EDIFICIO JOAQUIM FROTA DE HOLANDA;R EMIDIO LOBO 100;PAPICU;60176090;FORTALEZA;CE;
00327937000176;CONDOMINIO ED JOSE VILAR;R JOSE VILAR 430;MEIRELES;60125000;FORTALEZA;CE;
00332815000178;CONDOMINIO DO ED CASTELLANI;R DR FRANCISCO MATOS 588;COCO;60192240;FORTALEZA;CE;
00344207000183;EDIFICIO GRAND PLACE;R TIBURCIO CAVALCANTE 600;MEIRELES;60125100;FORTALEZA;CE;
00346459000141;CONDOMINIO ED MASTER NAVEGANTES;R DA PAZ 470;MUCURIPE;60165180;FORTALEZA;CE;
00350128000185;CONDOMINIO DO ED MARANATA II;R CARLOS VASCONCELOS 287;MEIRELES;60115170;FORTALEZA;CE;
00350238000147;GRAMADO;R MARECHAL RONDON 330;ALDEOTA;60175060;FORTALEZA;CE;
